,term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,other consultant suggestions / comments / entries,Galen's rationale,Galen's notes/drafts,,,,,,,,,,,,,,,,,,,,,,,
t,Tua-tua,penatua,pria yang lebih tua (G); pemimpin (W),Tua-tua jemaat adalah orang-orang yang memutuskan hal-hal penting dalam jemaat. Mereka juga disebut pengawas/pendeta dan pelayan/diaken.,pemimpin,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Elimelekh,,,Elimelekh adalah suami Naomi. Dia adalah seorang Israel yang bermigrasi ke negara Moab di mana dia meninggal. (Nama Elimelekh berarti Allahku adalah Raja.),,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,Eli adalah seorang imam di Kemah Suci Israel di Silo. Dialah yang membesarkan Samuel yang kemudian menjadi seorang nabi. (Nama Eli berarti Allahku.),,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Eli,,,"Eli adalah seorang imam TUHAN di Silo, sebelum Israel memiliki Bait Suci. Anak-anak laki-laki Eli tidak jujur. Eli membesarkan nabi Samuel sejak kecil hingga dewasa. (Nama Eli berarti Allahku.)",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elia,,Ilyas (W),"Elia hidup sekitar 800 tahun sebelum Yesus. Dia adalah seorang nabi Allah, yang dengan berani menegur raja yang jahat dan semua orang yang menyembah berhala di Israel. (Kitab Maleakhi mengatakan bahwa Elia harus kembali untuk mempersiapkan Israel menyambut kedatangan Mesias yang akan datang.) (Yohanes Pembaptis mirip dengan Elia dalam banyak hal.) (Nama Elia berarti Tuhan adalah Allah.)",Elisa,Arabic ref.,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Elisa,,Ilyasa (W),Elisa hidup sekitar 800 tahun sebelum Yesus. Dia adalah seorang nabi Allah yang ditunjuk oleh nabi Elia. Elisa melakukan lebih banyak mujizat daripada Elia.,Elia,Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Elkana,,,Ada beberapa orang bernama Elkana. Salah satu adalah suami Hana dan ayah nabi Samuel. (Nama Elkana berarti Allah menciptakan.),,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,Kaisar ,,,Seorang Kaisar adalah raja atau penguasa tertinggi di sebuah kerajaan. Dia memerintah raja-raja yang peringkatnya lebih rendah. Beberapa negara menganggap kaisar mereka sebagai dewa.,"raja, Firaun",,,,,,,,,,,,,,,,,,,,,,,,,,
t,kerajaan,,,"Sebuah kerajaan adalah wilayah luas yang terdiri dari beberapa kota, propinsi dan/atau bangsa yang di bawah kekuasaan satu penguasa tertinggi (seorang kaisar). Babel, Asyur, dan Roma adalah contoh kerajaan pada zaman Alkitab.","bangsa, negeri, wilayah, Kaisar",,"GC 08-Feb-19
RR updated",,,,,,,,,,,,,,,,,,,,,,,,
n,Efesus,orang Efesus,,Efesus adalah kota besar di dekat laut di Asia Kecil. Paulus memulai jemaat-jemaat baru di sana dan menulis surat kepada mereka. Yesus juga menulis surat kepada orang Efesus melalui Yohanes di dalam kitab Wahyu.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Efraim,,,Efraim adalah anak bungsu dari dua anak laki-laki Yusuf. Efraim menjadi nenek moyang salah satu suku Israel. (Nama Efraim berarti berbuah.),,,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Epikuros,,,Orang-orang Epikuros mengikuti ajaran filsuf Epikuros yang hidup sekitar 300 tahun sebelum Yesus. Dia mengajarkan bahwa orang-orang harus mencari kebahagiaan dalam hidup sambil menghindari rasa sakit dan ketakutan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Esau,,Esawu (W),"Esau hidup sekitar 1900 tahun sebelum Yesus. Ishak, anak Abraham, memiliki putra kembar bernama Esau dan Yakub. Dengan tanpa berpikir panjang, Esau, anak sulungnya,  menjual hak kesulungannya kepada saudaranya Yakub. (Anak-anak Yakub menjadi orang Israel, dan anak-anak Esau menjadi orang Edom.)",Edom,arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ester,,,"Ester adalah seorang yatim piatu Yahudi yang diasuh oleh sepupunya Mordekai. Setelah raja Persia Ahasyweros menjadikan Ester ratu barunya, Ester menyelamatkan banyak orang Yahudi supaya tidak dibunuh. (Nama Ester berarti bintang. Nama Yahudinya Hadassah berarti kayu murad.)",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Sida-sida,,"laki-laki yang dikebiri (R);
pengurus rumah tangga (W);",Seorang sida-sida adalah seorang laki-laki yang telah dikebiri. Negara-negara kafir terkadang melakukan mutilasi semacam ini pada budak atau orang yang dilatih untuk pekerjaan tertentu seperti pelayanan resmi pemerintah. Hal ini bukan kebiasaan orang Yahudi karena hukum Allah melarang orang menjadi sida-sida.,"hamba, pelayan","take this out:  (Christian ministers who do not get married may be called eunuchs.) Other language examples to euphemistic, better to say: castrated. Chamberlain unknown in PNG. (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
n,Hawa,,Awa (W bahasa Arab),"Hawa hidup sekitar 4000 tahun sebelum Yesus. Hawa adalah istri Adam dan ibu semua manusia. Ketika Iblis mencobai Adam dan Hawa, mereka tidak menaati Allah. Sejak saat itu, semua manusia juga telah berbuat dosa dan harus mati.",Adam,Arabic ref.,"The Bible clearly teaches universal death as a result of our first parents' sin, but not some kind of transmitted sin.",,,,,,,,,,,,,,,,,,,,,,,,
t,jahat,"kejahatan, fasik, kefasikan",,Hal-hal jahat adalah segala sesuatu yang dilarang oleh Allah; orang jahat adalah orang yang tidak mematuhi hukum Allah; roh jahat adalah makhluk tak terlihat yang mempengaruhi orang untuk berpikir tentang kejahatan dan melakukan tindakan jahat.,,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,iman,"Beriman, percaya, mempercayai, dipercayai, kepercayaan","menyetujui; menerima; percaya sebagai benar;
memercayai; keyakinan (R); hati (makhluk batin) tergantung pada sesuatu (PNG)","Iman berarti (1) mempercayai kebenaran, (2) percaya kepada Allah atau Kristus, dan (3) tetap setia kepada Yesus. Baik di dalam Perjanjian Lama dan Baru, Allah menganggap orang yang beriman kepada-Nya dan janji-janji-Nya sebagai orang benar.","Ragu-ragu, ketidakpercayaan, tidak percaya, belum percaya",other language: heart/liver (inner being) hangs on smg,"Both the Hebrew 'amn and the Greek pistis include both belief and loyalty, according to their context.",,,,,,,,,,,,,,,,,,,,,,,,
t,berpuasa,,,"Berpuasa berarti tidak makan untuk sementara waktu. Orang Yahudi biasanya berpuasa sebagai tanda pertobatan, kesedihan, atau kerendahan hati di hadapan Allah. Orang Kristen terkadang berpuasa sebagai bentuk doa kepada Allah.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,perjamuan,"pesta, hari raya","peringatan (W);
Makan / makanan besar; hari raya ibadah (K); pesta (R);
tarian besar / makan besar (pesta) (G);
","Perjamuan adalah acara khusus dengan banyak makanan dan minuman yang enak. Orang Israel mengadakan perjamuan selama hari raya, ketika keluarga berkumpul untuk mengingat kebaikan Allah. Orang Israel harus merayakan hari raya tertentu di Yerusalem.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Pentahbisan Bait Allah,,"pemurnian (W); pesta mengingat hari ketika orang Israel membuka rumah pemberian (R);
hari raya ibadah agar orang Israel ingat hari mereka membuka rumah pemberian (K)
","Pada tahun 165 sebelum Yesus, orang Israel (Yahudi) merebut kembali Bait Suci mereka dari musuh mereka. Mereka mendedikasikannya lagi untuk Allah. Pesta tahunan ini yang dirayakan Orang Israel disebut hari raya Pentahbisan Bait Allah dan hari raya Cahaya.",,other language: why house of giving? (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Pentakosta,"Hari raya lepas tujuh minggu, hari Pentakosta",hari Pentikos (R); ,"Pentakosta berarti lima puluh. Hari raya panen ini diadakan pada bulan Mei, 50 hari setelah perayaan Paskah. Pada hari Pentakosta, sekitar tahun 33 M., Roh Kudus pertama kali turun ke atas semua orang yang percaya kepada Yesus.",,,"Astronomy-based calendars, along with better documentary studies, now situate the birth of Jesus around 2 BCE, and his ministry beteen 29 and 33 CE. If this causes indigestion, then remove the date reference.",,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Pondok Daun,,hari orang Yahudi beribadah yang disebut hari raya Pondok Daun (R); hari-hari raya ibadah tempat berteduh (K); hari raya untuk beribadah yang disebut hari raya kemah,"Pada hari raya Pondok Daun di bulan Oktober atau November, orang Yahudi bergembira karena panen telah selesai. Mereka tinggal di pondok sementara selama satu minggu, untuk menghormati nenek moyang mereka yang tinggal empat puluh tahun di pondok saat mengembara di padang gurun.",,"tabernacle is too techincal, better to say tent  or garden shelter, in Pidgin haus win Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Paskah,Paskah,pesta melewati (R); hari raya ibadah melewati (K);,"Selama hari raya Paskah di bulan Maret atau April, orang Yahudi mengingat bagaimana nenek moyang mereka melarikan diri dari perbudakan di negara Mesir. Pada saat itu Allah memperingatkan bahwa dia akan mengutus malaikatnya untuk membunuh anak laki-laki tertua dari setiap keluarga di Mesir, kecuali keluarga yang menyembelih seekor domba dan mengolesi darahnya di tiang pintu depan rumah mereka. Kalau tiang pintu depan rumah diolesi darah seekor domba itu, malaikat akan lewat rumah itu tanpa menyakiti siapa pun.",hari raya Roti Tidak Beragi,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya Roti Tidak Beragi,,Hari raya roti tidak ada ragi di dalamnya (R); hari raya ibadah roti tidak ada ragi di dalamnya (K);,"Hari raya Roti Tidak Beragi berlangsung selama tujuh hari setelah Perayaan Paskah. Selama tujuh hari ini, orang Yahudi makan roti tanpa ragi, untuk mengingat bagaimana nenek moyang mereka melarikan diri dari Mesir (begitu cepat sehingga mereka tidak punya waktu untuk memanggang roti beragi).",Paskah,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Feliks,,,Feliks adalah gubernur Romawi atas Yudea antara tahun 52 dan 60 M. Feliks adalah seorang pria yang tidak jujur. Dia menahan Paulus di penjara Kaisarea selama dua tahun. Dia pernah mendengar Paulus menjelaskan tentang penghakiman Allah lalu merasa khawatir.,,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,hari raya,,,"Hari raya adalah hari-hari khusus ketika orang mengingat masa lalu mereka atau menghormati Allah. Orang-orang biasanya makan bersama sebagai bagian dari hari raya itu. Israel memiliki tujuh hari raya tahunan, termasuk Hari Raya Paskah.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Festus,,,"Festus menggantikan Feliks sebagai gubernur Romawi atas Yudea pada tahun 62 M. Ia meninggalkan Paulus dalam penjara di Kaisarea, sampai ia mengirim Paulus ke Roma untuk diadili oleh kaisar Romawi.",,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
t,ara,buah ara,,Pohon ara adalah sejenis pohon buah-buahan. Buahnya sangat manis.,,,,,,,,,,,,,,,,,,,,,,,,,,,
t,orang bodoh,bebal,orang yang tidak benar-benar mengetahui banyak hal (G);,"Orang bodoh adalah siapa saja yang membuat pilihan yang buruk/bodoh, walaupun sudan diperingatkan orang lain . Allah ingin orang bodoh bertobat, belajar hikmat dan menaati-Nya. Kitab Amsal sering mengontraskan orang bodoh dan orang bijak.","hikmat, bijaksana",,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,mengampuni,"pengampunan, diampuni",hapus (R); merangkal bahu orang (S-I);,"Mengampuni berarti memilih untuk tidak menghukum orang yang telah berdosa atau tidak taat. Ketika diampuni, orang yang berbuat salah tidak lagi merasa bersalah atau malu atas apa yang telah mereka lakukan.","kesalahan, malu, mentahirkan, menguduskan",,,,,,,,,,,,,,,,,,,,,,,,,,
t,membentuk,"dibentuk, bentuk",,"Membentuk sesuatu berarti (1) mengubah bentuknya agar terlihat seperti sesuatu yang lain (misalnya tanah liat dapat dibentuk menjadi seperti gambar sesuatu), atau (2) menyatukan orang-orang menjadi suatu kelompok.","Mengukir, mendirikan, membangun
",,GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,rubah,"Rubah-rubah, serigala",,"Rubah adalah hewan liar seperti anjing kecil dengan bulu yang indah, ekor lebat, gigi tajam, dan cakar yang tidak bisa ditarik. Rubah berburu dengan sembunyi-sembunyi seperti kucing dan memakan hewan yang lebih kecil seperti tikus, mencit, ular, dan kelinci. Beberapa budaya menggunakan kata rubah sebagai kiasan untuk mendeskripsikan atribut seperti kecantikan, kelicikan, atau kebijaksanaan. Misalnya, jika seorang wanita cantik, dia bisa disebut rubah. Raja Herodes disebut rubah, artinya Herodes cerdik atau licik dan berbahaya.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kemenyan,,"bahan lengket yang asapnya berbau harum (R);
bubuk dimasak/dibakar dan asapnya berbau harum dan disebut insens (K)","Kemenyan adalah bubuk berbau harum yang terbuat dari getah pohon. Saat dibakar, baunya harum. Karena orang Yahudi harus membawanya dari jauh, harganya mahal.",ukupan,good smelling powder made of sap of a tree (Hilkka),,,,,,,,,,,,,,,,,,,,,,,,,
t,perapian,dapur peleburan,api (W);,"Perapian adalah tempat atau kotak besar di mana seseorang membakar kayu atau bahan bakar lain untuk menghasilkan panas yang tinggi, seperti tungku untuk mengawetkan batu bata atau tembikar. (Orang Babel mempraktekkan kremasi, yaitu membakar mayat di tungku.) (Pengrajin menggunakan tungku untuk memurnikan logam seperti perak atau emas.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gadara,orang Gadara,,Gadara adalah sebuah wilayah di dekat Danau Galilea dimana banyak orang bukan Yahudi yang makan daging babi tinggal.,,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Galilea,,,Galilea adalah sebuah wilayah atau provinsi di bagian utara Israel di sekitar sebuah danau yang sangat besar yang disebut Danau Galilea. Danau ini terisi banyak ikan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Gehazi,,,Gehazi adalah pelayan nabi Elisa. Ia pernah berdosa dengan meminta hadiah dari seorang pejabat Siria yang telah disembuhkan oleh Elisa dari penyakit kusta.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,orang yang bukan Yahudi,"orang yang tidak mengenal Allah, Bangsa-bangsa yang tidak mengenal Allah",Orang yang bukan orang Yahudi (W),"Orang bukan Yahudi adalah semua orang yang bukan orang Israel atau orang Yahudi. Pada zaman Yesus, kebanyakan orang bukan Yahudi menyembah dewa palsu dan berhala. (Sebelum Yesus kembali ke surga, dia memerintahkan para rasulnya untuk pergi memuridkan orang-orang di semua bangsa bukan Yahudi juga.)
Terkadang, istilah ini digunakan dalam pengertian umum dalam Perjanjian Baru untuk merujuk pada orang yang tidak percaya kepada Allah atau orang yang bukan milik Allah.","orang Yahudi, orang Ibrani","can be translated also with their nationality, e.g. Kenan/Greek… (Hilkka)","I am not aware of a figurative use of the term Gentile in the NT.         RR:  Perhaps generic sense is better than figurative.  Gentile is used for the category of ""sinner"" or unbeliever (even though all ethnic Gentiles are not unbelievers), as Jew is sometimes used in a generic sense for the category of ""belonging to God"" or ""believer"" (even though all ethnic Jews do not believe) e.g. Rev 2:9; 3:9
GC: Good!",,,,,,,,,,,,,,,,,,,,,,,,
n,Gibea,"Gibeon, orang Gibeon",,Gibea adalah kota kafir di Kanaan ketika Yosua dan orang Israel menaklukkan tanah itu. (Orang Gibeon menipu Yosua untuk membuat perjanjian damai dengan mereka.),,,Let the Bible tell the story.,07 July 2019,,,,,,,,,,,,,,,,,,,,,,,
n,Orang Gibeon,Gibeon,,"Orang Gibeon adalah orang Kanaan dari kota Gibea yang berpura-pura berasal dari luar Kanaan, untuk berdamai dengan Yosua dan pasukannya. Karena orang Israel tidak meminta kepada Allah dulu, mereka ditipu oleh orang Gibeon dan berdamai dengan mereka, padahal mereka benar-benar orang Kanaan.",,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gideon,,,"Gideon hidup pada sekitar 1200 tahun sebelum Yesus. Dia adalah seorang petani yang menjadi pemimpin atau hakim atas bangsa Israel, setelah dia memimpin pasukan kecil melawan pasukan musuh yang besar. (Allah menakuti pasukan besar itu sehingga melarikan diri.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,kemuliaan,"dimuliakan, memuliakan","Cahaya;
kebesaran;
memuji (memuliakan Allah);
kekuatan dan/atau keindahan (G);
allah (W); dekorasi/keindahan (R);","Kemuliaan berarti (1) kekuatan besar, (2) cahaya terang, (3) keindahan dan (4) kehadiran Allah.",,References to Allah/islam not helpful in PNG ,,,,,,,,,,,,,,,,,,,,,,,,,
t,kambing,Kambing-kambing,hewan mirip rusa berbulu panjang (G);,"Kambing adalah hewan jinak yang daging dan susunya dimakan manusia. Kambing sering hidup dalam kawanan yang sama dengan domba. Ekor domba menggantung ke bawah, sedangkan ekor kambing melengkung ke atas. Kambing jantan dewasa akan bertarung menggunakan tanduknya, dan juga merupakan kiasan untuk negara yang berperang.","domba, gembala",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Allah,Allah yang abadi,"yang abadi;
Pencipta;
Allah yang hidup / hidup selamanya (G);","Allah adalah Roh Agung dan Abadi yang menciptakan segala sesuatu dan semua makhluk hidup. Allah menguasai langit dan bumi. Dia telah memerintahkan semua orang untuk meninggalkan dewa mereka dan hanya menyembah dia. (Tidak ada allah lain yang sebesar dia.) (Allah yang Maha Besar ini datang ke dunia sebagai manusia, yaitu Yesus sang Mesias.)","Tuhan, berhala, allah-allah, dewa-dewa",Arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,emas,,,"Emas dan perak adalah logam berkilau yang digunakan di banyak negara sebagai uang dan untuk membuat perhiasan. Tabut Perjanjian Israel ditutupi dengan penutup emas yang mengkilap. Emas ditambang dari dalam bumi. Pemanasan dengan api yang sangat panas diperlukan untuk memurnikannya, sehingga emas itu mencair dan kotorannya dapat dipisahkan darinya.",perak,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
n,Gomora,,,"Gomora adalah kota dekat kota Sodom, yang dipilih Lot, keponakan Abraham, sebagai tempat tinggal. Penduduknya sangat jahat, sehingga Allah memusnahkannya dengan api yang jatuh dari langit (sekitar 2000 tahun sebelum Yesus hidup).",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,baik,,"
","Orang menyebut ""baik"" apa pun dan siapa pun yang mereka nilai benar, jujur, baik hati, atau berguna. Kalau seseorang disebut ""adil"" atau ""benar"" berarti mereka mengikuti hukum-hukum Allah.","benar, adil",,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,Injil,kabar baik,"Laporan Baik (W);
Perkataan yang indah (G); penceritaan yang baik (R);
Pembicaraan yang baik (K);","Injil berarti Kabar Baik. Kabar baik ini adalah pesan (dari para rasul Yesus) bahwa Allah mengampuni dosa dan memberikan hidup yang kekal kepada semua orang yang bertobat dan beriman kepada Yesus, yang mati di kayu salib, dikuburkan, bangkit tiga hari kemudian, dan menampakkan diri kepada banyak saksi mata.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,wali negeri,gubernur,"penguasa (daerah);
kepala (rakyat di suatu negara) (G); pemimpin besar dari pemerintah (R); kilifa (W dari bahasa Arab)",Wali negeri adalah pejabat yang memerintah suatu wilayah atau bagian dari suatu negara. Hanya seorang raja memiliki kekuasaan yang lebih tinggi dari wali negeri.,"raja, pemimpin
",arabic ref.,,,,,,,,,,,,,,,,,,,,,,,,,
t,kasih karunia,,"memaafkan; memperbaiki;
Datang (untuk menolong/menunjukkan belas kasihan kepada seseorang);
dan tidak ada yang membayarnya (W);
belas kasihan dan kesabaran (untuk orang) (G); cinta/kasihan (K); suka (K)
","Kasih karunia adalah kasih yang Allah miliki bagi kita manusia, yang dengannya Dia mengampuni kita, menyelamatkan kita dari bahaya, menolong kita menjalani kehidupan yang lebih baik, memberi kita kekuatan untuk melayani Dia, dan akan membawa kita ke dalam kerajaan kekal-Nya.","mengampuni, rahmat, kasih","also, make good (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,buah anggur,,biji anggur (R);,"Buah anggur adalah sejenis buah yang tumbuh pada pokok anggur, bukan pohon. Jus dari buah itu digunakan untuk membuat anggur. (Orang Yahudi telah menanam banyak pokok anggur di ladang mereka dan mengolahnya agar menghasilkan banyak buah.)","pokok anggur, anggur",reseng not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Yunani,,,"Yunani adalah sebuah negara di Eropa. Kota Atena dan kota Korintus berada di Yunani. Sekitar 350 tahun sebelum Yesus, Yunani menaklukkan Israel dan banyak negara lainnya. Sebagian besar negara-negara tersebut mulai berbicara dan membaca bahasa Yunani. Kitab-kitab Perjanjian Baru ditulis dalam bahasa Yunani. Bahasa Yunani adalah bahasa perdagangan pada waktu kekaisaran Roma.",,"Greek was language of scholars, not ordinary people's mother tongue (Hilkka)",,,,,,,,,,,,,,,,,,,,,,,,,
t,kesalahan,salah,"keadaan orang yang telah melakukan sesuatu yang buruk (G);
yang pantas mati (W);",Orang yang bersalah adalah orang yang telah melanggar hukum. Semua manusia bersalah di hadapan Allah ketika mereka mulai melanggar hukum-hukum-Nya. Semua orang bersalah harus dihukum. Akibat kesalahan adalah hukuman. Biasanya orang yang bersalah akan merasa malu.,"mengampuni, kecemaran, menguduskan, malu","this is an exception, very strong: that deserving death (W); (Hilkka)",GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Hagar,,,"Hagar hidup pada sekitar 2000 tahun sebelum Yesus. Dia adalah seorang budak perempuan di rumah Sara, istri Abraham. Pada saat Sara belum melahirkan anak, dia meminta Abraham untuk tidur dengan Hagar, dan Hagar melahirkan seorang anak yang bernama Ismael. (Tapi Ismael bukanlah anak yang Allah janjikan untuk diberikan kepada Abraham melalui istrinya Sara. Dua belas tahun kemudian, Sara melahirkan seorang anak laki-laki yang Abraham namai Ishak. Ishak adalah anak yang dijanjikan Allah.)",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,hujan es,,,Hujan es adalah air beku (es) yang jatuh dari langit seperti hujan.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haman,,,"Haman adalah keturunan raja kafir yang bernama Agag yang membenci Israel. Ketika raja Persia Ahasyweros mengangkatnya menjadi pejabat, Haman coba membunuh Mordekhai dan semua orang Yahudi di kekaisaran Persia.",,,GC 08-Mar-2019,,,,,,,,,,,,,,,,,,,,,,,,
n,Hana,,,Hana adalah salah satu istri Elkana. Dia berdoa kepada Tuhan di Silo untuk meminta seorang anak. Beberapa waktu kemudian dia melahirkan seorang anak laki-laki bernama Samuel yang menjadi nabi atas Israel. (Nama Hana berarti rahmat.),,,,GC 7/7/2019,,,,,,,,,,,,,,,,,,,,,,,
n,Hanun,,,Hanun adalah seorang raja Amon yang mempermalukan para utusan raja Daud.,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Haran,,,Ada beberapa pria dan sebuah kota bernama Haran. Salah satu pria itu adalah saudara laki-laki Abraham yang juga adalah ayah Lot. Kota bernama Haran adalah tempat ayah Abram meninggal.,,,GC 07-Feb-19,,,,,,,,,,,,,,,,,,,,,,,,
t,surga,sorga,"di atas;
langit;
jauh tinggi (G); surga (R);","Surga adalah tempat kediaman Alla, dan semua makhluk yang malayani dia.",bumi,try to separate heaven and sky; asaman not helpful in PNG,,,,,,,,,,,,,,,,,,,,,,,,,
n,Ibrani,"orang Yahudi, orang Israel",orang Yahudi; bahasa Yahudi;,Orang Ibrani adalah keturunan Abraham (dua belas suku) dan bahasa Ibrani adalah bahasa mereka. Orang Ibrani dipilih Allah untuk menjadi bangsanya yang istimewa. Orang Ibrani kemudian disebut orang Israel (setelah Allah mengubah nama Yakub menjadi Israel) dan mereka juga disebut orang Yahudi (karena banyak orang Israel tinggal di Yehuda).,orang yang bukan Yahudi,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hebron,,,Hebron adalah kota yang terletak di wilayah Yehuda di Israel. Abraham dan Yakub menyembah Allah di dekat Hebron. Raja Daud memerintah suku Yehuda di Hebron selama sekitar tujuh tahun.,,,GC 19-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kawanan,,,"Kawanan adalah sekelompok hewan, terutama hewan peliharaan (bukan liar) berkuku yang dipelihara gembala sebagai hewan ternak.",gembala; ternak,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Hermes,,,"Hermes, yang juga disebut Merkurius, adalah dewa Yunani dan Romawi yang diyakini orang-orang kafir, berfungsi sebagai pembawa pesan bagi dewa-dewa lain.",,,,,,,,,,,,,,,,,,,,,,,,,,,
n,Herodes,,,"Herodes adalah nama keluarga raja-raja yang diberi kekuasaan oleh orang Romawi atas sebagian Israel. Empat raja tersebut adalah (1) Herodes Agung di Yudea yang memerintah pada waktu Yesus masih kecil, (2) Herodes Antipas di Galilea yang memerintah pada masa pelayanan Yesus, (3) Herodes Agripa I di Yudea yang memerintah setelah kebangkitan Yesus dan menganiaya orang-orang Kristen mula-mula dan (4) Herodes Agripa II di Yudea yang memerintah pada waktu Paulus diadili.",,,,,,,,,,,,,,,,,,,,,,,,,,,
t,imam besar ,imam kepala,pemimpin yang mempersembahkan korban kepada Allah (R); imam kepala (U),Imam Besar (Kepala) adalah pemimpin dari semua imam. Imam Besar adalah satu-satunya orang yang diizinkan masuk ke Tempat Mahakudus di Kemah Suci atau Bait Suci di mana dia akan mempersembahkan korban kepada Allah untuk dosa-dosanya sendiri dan dosa-dosa yang telah dilakukan orang Israel.,imam,other language: head man of priests (Urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,kudus,"kekudusan, maha kudus ","unik;
dikhususkan / khusus / suci;
murni atau tidak berdosa/kesalahan/kesalahan moral;
milik Allah (berhubungan dengan Allah);
menjauhi hal/perbuatan buruk (G);
Murni (W); milik Allah (R); bersih (R); lurus (k);","Kudus berarti (1) murni, bersih, (2) diampuni; (3) unik, berbeda dari yang lain; dipisahkan; berdedikasi atau milik Allah, dan (4) setia kepada Allah. Yesus disebut Yang Kudus, dan Allah sendiri disebut Roh Kudus. (Alkitab menyebut Orang Kristen Orang Kudus)","Roh Kudus, dosa, orang kudus",,,,,,,,,,,,,,,,,,,,,,,,,,
t,Roh Kudus,"Roh Allah, Roh Yesus Kristus, Roh Kudus Allah","Roh Allah;
napas Allah;
Roh yang Baik (G);
Roh Yesus;
Nafas yang Murni (W); Roh Lurus (R); terang/sempurna nafas/angin (U)",Roh Kudus adalah Roh Allah. Yesus berjanji bahwa Roh Kudus akan datang tinggal bersama mereka yang beriman kepada Dia.,roh,other language: bright/perfect breath/wind (urt),,,,,,,,,,,,,,,,,,,,,,,,,
t,menghormati,"Hormati, dihormati, terhormat","menghormati / berbicara dengan baik tentang (G);
tetap di bawah kekuasaan / mengangkat / memuji nama / membuat senang (U)","Menghormati seseorang berarti mengatakan betapa hebat atau baiknya dia karena orang tersebut bijaksana, berkuasa, atau lebih tua.","menyembah, memuji, bersyukur","other language: stay under authority (urt), have first place (urt), lift up/praise name of (urt), make happy (urt)",GC 23-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
t,kuda,Kuda-kuda,,"Kuda adalah hewan yang berlari cepat, besar, kuat, dan yang bisa ditunggangi manusia. Mereka bisa menarik gerobak atau kereta, dan membawa beban. Ketinggian kuda bervariasi, tetapi umumnya mereka lebih pendek dari unta dan lebih besar dari keledai.",,,GC 15-Feb-2019,,,,,,,,,,,,,,,,,,,,,,,,
