, term,Alternate forms and synonyms.,Other language examples (back translations),Meaning notes. Definitions.,Related (but different) terms,
n,हेब्रोन ,,,हेब्रोन नाम के दो कस्बे (शहर) थे। अब्राहम और याकूब ने कनान में हेब्रोन के पास परमेश्वर की आराधना की। राजा दाऊद अक्सर यहूदा के हेब्रोन में जाया करते थे।,,
n,हेमीज़,,,"हेमीज़, जिसे बुध भी कहा जाता है, एक यूनानी और रोमन देवता था, जिसके बारे में मूर्तिपूजकों का मानना ​​था कि वह अन्य देवताओं के लिए संदेशवाहक का काम करता था।",,
n,हेरोदेस ,,,"हेरोदेस उन राजाओं का पारिवारिक नाम है जिन्हें रोमियों ने इस्राएल के कुछ हिस्सों पर शासन सौंपा था। उनमें से चार राजा थे (1) यहूदिया में हेरोदेस महान (जिस समय यीशु शिशु थे, उस समय राजा थे), (2) गलील में हेरोदेस अंतिपास (जिसने उस समय शासन किया जब यीशु प्रचार कर रहे थे), 3) यहूदिया में हेरोदेस अग्रिप्पा प्रथम (जिसने यीशु के पुनरुत्थान के बाद शासन किया और प्रारंभिक ईसाइयों को सताया) और (4) यहूदिया में हेरोदेस अग्रिप्पा द्वितीय (जिसने उस समय शासन किया जब पौलुस कैसरिया में बंदी था)।",,
n,इसहाक ,,,"इसहाक यीशु मसीह से लगभग 1900 वर्ष पहले था। इसहाक वह पुत्र था जिसके बारे में परमेश्वर ने अब्राहम से वादा किया था कि उसकी पत्नी सारा उसे जन्म देगी। इसहाक वह पुत्र भी है जिसे अब्राहम ने प्रभु परमेश्वर को बलिदान करने के लिए चढ़ाया था। (जब सारा ने परमेश्वर का यह वादा सुना कि वह एक पुत्र को जन्म देगी, हालाँकि वह पहले से ही बूढ़ी थी, तो वह हँस पड़ी। इसहाक नाम का अर्थ है ""हँसी।"")",,
n,यशायाह,,,"यशायाह यीशु मसीह से लगभग 800 वर्ष पहले रहते थे। उसने अक्सर यहूदा के राजाओं से बात की और यशायाह की पुस्तक लिखी, जिसमें मसीहा के बारे में कई भविष्यवाणियाँ कीं। यीशु मसीह ने कहा कि यशायाह ने उनके बारे में लिखा है।",,
n,याबान ,,,"याबान एक कनानी राजा था जिसकी सेना इस्राएलियों पर अत्याचार करती थी। यहोवा से प्रार्थना करने पर, इस्राएलियों ने याबान की सेना को हराकर उसे मार डाला।",,
n,याकूब,,,"याकूब यीशु मसीह से लगभग 1850 वर्ष पहले था। वह इसहाक का पुत्र और अब्राहम का पोता था। जब याबूब ने परमेश्वर के एक दूत से कुश्ती लड़ी, तो दूत ने उसे एक नया नाम दिया, इस्राएल। इस्राएल के बारह पुत्र इस्राएल के बारह गोत्रों के पूर्वज बने। (इस प्रकार, इस्राएलियों को कभी-कभी याकूब का घराना कहा जाता है।)",,
n,याएल,,,"याएल एक केनी स्त्री थी जिसका कुल इस्राएल में रहता था, परन्तु कनानियों के साथ उसका मेल-मिलाप था। जब सीसरा इस्राएली सेना से भागा, तो उसने याएल के तंबू में शरण ली, जहाँ उसने सोते हुए उसे मार डाला। (याएल नाम का अर्थ है ""प्रभु ही ईश्वर है""।)",,
n,याकूब ,,,"याकूब नाम के कई लोग थे। उनमें से दो प्रेरित थे। दूसरा व्यक्ति यीशु मसीह का भाई याकूब था जो बाद में मसीही बन गया और यरूशलेम की कलीसियाओं के अगुवा बन गया। (याकूब का इब्रानी भाषा मे ""जैकब"" है जिसका अर्थ है ""अंकुरित करनेवाला""।)",,
n,यहोआकिन,"यहोयाकीन,कोन्याह",,"यहोआकिन, जिसे कोन्याह और यहोयाकीन भी कहा जाता है, यहूदा (दक्षिणी इज़राइल) का राजा था, जब 598 ईसा पूर्व मे बेबीलोन की सेना ने यरूशलेम शहर पर आक्रमण कर उस पर कब्ज़ा कर लिया था।",,
n,यहोयादा ,,,"राजा योआश के शासनकाल से पहले और उसके दौरान, यहोयादा यरूशलेम के मंदिर में महायाजक था। उसकी पत्नी ने शिशु योआश को दुष्ट रानी अथलिया द्वारा मारे जाने से बचाया।",,
n,यिप्तह,,,"यिप्तह, यीशु मसीह से लगभग 1700 वर्ष पूर्व न्यायियों के समय में रहते थे। वह इस्राएलियों की सेना का सेनापति बना और उसे विजय की ओर ले गया।",,
n,यिर्मयाह,,,"यिर्मयाह येशु मसीह से लगभग 600 वर्ष पूर्व रजते थे, उस समय से पहले और उस समय जब बेबीलोन द्वारा इस्राएल का विनाश किया गया था। वह परमेश्वर का एक भविष्यवक्ता था जिसने इस्राएलियों को अपनी आज्ञा उल्लंघन, का पश्चाताप करने के लिए कहा, और उन्हें चेतावनी दी कि बेबीलोन के लोग यरूशलेम पर कब्ज़ा कर लेंगे और उन्हें 70 वर्षों के लिए बंदी बना लेंगे।",,
n,यरीहो ,,,"यरीहो कनान के एक मज़बूत, दीवारों से घिरे शहर का नाम था। यह वह स्थान था जहाँ राहाब रहती थी। यरीहो वह पहला शहर था जिसे यहोशू और इस्राएलियों ने परमेश्वर की चमत्कारिक मदद से हराया था। परमेश्वर ने यरीहो की दीवारें गिरा दीं।",,
n,यारोबाम ,,,"राजा सुलैमान की मृत्यु के बाद, उसका राज्य दो भागों में बँट गया। यारोबाम उत्तरी भाग का राजा बना, जिसे वे इस्राएल कहते थे। यारोबाम ने इस्राएलियों से यरूशलेम न जाने का आदेश दिया, और बैल जैसी दिखने वाली मूर्तियों को दंडवत् करके यहोवा की आराधना करने को कहा, और खुद को एक याजक भी बना लिया। ये सब काम यहोवा को नापसंद थे। यारोबाम एक दुष्ट राजा था।",,
n, यरूशलेम ,,,"राजा दाऊद द्वारा यरूशलेम पर कब्ज़ा करने के बाद, यह इज़राइल की राजधानी बन गया। (यरूशलेम नाम का अर्थ है ""शांति का नगर।"") राजा सुलैमान ने यरूशलेम में परमेश्वर के लिए एक मंदिर बनवाया। 1000 वर्षों तक, यरूशलेम शहर यहूदियों के लिए आराधना का मुख्य स्थल बना रहा। यरूशलेम का दूसरा नाम सिय्योन पर्वत है, क्योंकि यह एक पहाड़ी पर स्थित है। यरूशलेम को कई बार नष्ट किया गया और पुनः बनाया गया।",सिय्योन,
n,यिशै,,,"यिशै, राजा दाऊद का पिता था, जो येशु मसीह का पूर्वज था। पुराने नियम में, भविष्यवक्ता यशायाह ने लिखा था कि मसीहा या ख्रीस्त, यिशै और दाऊद का वंशज होगा।",,
n,यीशु,"ईसा, येशु ","Yeesu in Roman script, Isaa in Arabic script (W);","(एक स्वर्गदूत ने मरियम और यूसुफ को उसके पुत्र का नाम रखने को कहा) यीशु, जिसका अर्थ है ""परमेश्वर बचाता है"" क्योंकि यीशु लोगों को उनके पापों से बचाएगा। यीशु ही वादा किया गया मसीहा या क्राइस्ट है। वह मानव शरीर में आया परमेश्वर है, एकमात्र उद्धारकर्ता। (उसने धरती पर चमत्कार किए, हमारे पापों के कारण उसकी मृत्यु हुई, तीन दिन बाद वह जीवित हो उठा, और वह स्वर्ग में चढ़ गया है जहाँ से वह एक दिन जीवितों और मृतकों का न्याय करने और उस राज्य पर शासन करने के लिए लौटेगा जिसे वह अभी भी बनाने की प्रक्रिया में है)। यीशु को दी गई कुछ अन्य उपाधियाँ हैं: यीशु मसीह, मसीहा, परमेश्वर का पुत्र, मनुष्य का पुत्र, दाऊद का पुत्र।",,
n,यित्रो ,रूएल,,"यित्रो मिद्यान के एक याजक की उपाधि थी। उसका अपना नाम रूएल था (निर्गमन 4:18)। मूसा ने लगभग 1400 ईसा पूर्व में यित्रो की एक पुत्री से विवाह किया था। (रूएल नाम का अर्थ है ""ईश्वर का मित्र""।)",,
n,यहूदी ,,people (a tribe) called Jews; sons of Israel (W);,"यहूदी, अब्राहम और याकूब के वंशज थे, जिन्हें इज़राइल भी कहा जाता था। वे यहूदा नामक देश में रहते थे, इसलिए उन्हें यहूदी कहा जाता था। यहूदियों को ""परमेश्वर के लोग"" कहा जाता था क्योंकि परमेश्वर ने उन्हें उस राष्ट्र के रूप में चुना था जिसके माध्यम से वह स्वयं को प्रकट करेंगे और जिनके माध्यम से मसीहा प्रकट होंगे।",,
n,योआब,,,योआब कई वर्षों तक दाऊद की सेना का वफादार सेनापति था।,,
n,योआश,योआश,,"योआश, येशु मसीह से लगभग 800 वर्ष पूर्व यहूदा (दक्षिणी इस्राएल) का राजा था। युवा अवस्था में उसने प्रभु की सेवा की, परन्तु वृद्धावस्था में उसने बुरे काम किए और मारा गया।",,
n,अय्यूब,,,"बहुत समय पहले, अय्यूब एक प्रसिद्ध, धनी, धर्मपरायण और नेक इंसान था। जब दुश्मनों ने उसकी सारी दौलत छीन ली और शैतान ने उसके बच्चों को मार डाला, तो वह बहुत बीमार हो गया। उसके दोस्तों ने उस पर गुप्त पापों का आरोप लगाया, लेकिन अय्यूब जानता था कि वह एक नेक इंसान है, इसलिए वह परमेश्वर से पूछना चाहता था कि वह इतना कष्ट क्यों झेल रहा है। जब वह नम्र हो गया, तो परमेश्वर ने उसका स्वास्थ्य और धन वापस कर दिया, और उसके और भी बच्चे हुए।",,
n,यूहन्ना,,Yowanna (W),"यूहन्ना नाम का अर्थ है ""परमेश्वर का अनुग्रह""। बाइबल में यूहन्ना नाम के कई पुरुष पाए जाते  हैं: (1) बपतिस्मा देने वाला ,जिसने लोगों को परमेश्वर की ओर लौटने की चेतावनी दी, (2) यीशु का एक प्रेरित जो यीशु के बहुत करीबी तीन लोगों में से एक था और जिसने सुसमाचार, कई पत्र और लगभग निश्चित रूप से प्रकाशितवाक्य लिखा, (3) बरनबास का चचेरा भाई यूहन्ना मरकुस जिसने एक सुसमाचार लिखा, (4) पतरस का पिता, (5) एक महायाजक का रिश्तेदार।",,
n,योना,,,"योना, यीशु मसीह से लगभग 800 वर्ष पूर्व रहता था। उसके नाम का अर्थ है कबूतर, एक प्रकार की  पक्षी। वह परमेश्वर का एक भविष्यवक्ता था जिसने (अनिच्छा से) दुष्ट नगर नीनवे को पश्चाताप करने के लिए बुलाया था। (यीशु ने एक बार कहा था कि वह स्वयं अपनी मृत्यु के तीन दिन बाद जीवित हो जाएगा, जैसे योना तीन दिन तक एक बड़ी मछली के पेट में रहा था जिसने उसे निगल लिया था।) परमेश्वर ने योना के शब्दों के साथ-साथ उसके जीवन को भी एक संदेश के रूप में इस्तेमाल किया।",,
n,योनातान,,,"योनातान राजा शाऊल का पुत्र था। वह और दाऊद बहुत अच्छे मित्र बन गए। जब शाऊल और योनातान युद्ध में मारे गए, तो दाऊद उनके स्थान पर राजा बना। (योनातान नाम का अर्थ है ""प्रभु से उपहार"")",,
n,याफा,,,"याफा यरूशलेम के पश्चिम में समुद्र तट पर स्थित एक शहर था, जहाँ जहाज़ और नावें आती-जाती थीं।",,
n,यरदन,यरदन  नदी ,,"यरदन उस लंबी नदी का नाम है जो इज़राइल में उत्तर से दक्षिण की ओर बहती है। यरदन  नदी के पश्चिम में अच्छी कृषि भूमि है, जबकि जॉर्डन नदी के पूर्व में जंगल है।",,
n,यूसुफ,,,"यूसुफ नाम के कई पुरुष हैं: (1) याकूब का ग्यारहवाँ पुत्र, (2) मरियम का पति, (3) यीशु मसीह का एक भाई, (4) वह धनी यहूदी नेता जिसने यीशु मसीह के शरीर को दफनाया था,आदि ।
याकूब के पुत्र यूसुफ को यीशु मसीह से लगभग 1800 वर्ष पहले मिस्र में एक दास के रूप में बेच दिया गया था, (और वह मिस्र में एक महत्वपूर्ण अधिकारी बन गया जहाँ वह याकूब के परिवार को 400 वर्षों तक रहने के लिए ले आया)। (यूसुफ नाम का अर्थ है ""वह जोड़ेगा"")",,
n,यहोशू ,,,"यहोशू येशु मसीह  से लगभग 1400 वर्ष पहले रहते थे। उनके नाम का अर्थ है ""परमेश्वर बचाता है""। वह उन 12 जासूसों में से एक थे जिन्हें मूसा ने कनान भेजा था। मूसा की मृत्यु के बाद, यहोशू इस्राएलियों का अगुवा बना, जब तक कि उन्होंने कनान पर विजय प्राप्त नहीं कर ली। (उसने कहा, ""जहाँ तक मैं और मेरा परिवार की बात है, हम प्रभु का अनुसरण करेंगे।"")
(यहोशू नाम का अर्थ है ""प्रभु बचाता है""। यीशु नाम और यहोशू नाम का एक ही रूप है।)",,
n,यहूदा ,,,"यहूदा याकूब के बारह बेटों में से एक था। उसकी माँ का नाम लिआ था। वह यहूदा के इस्राएली कबीले का पूर्वज बना। 
राजा सोलोमन की मौत के बाद भी, उत्तरी कबीलों को इज़राइल कहा जाता था, जबकि दो दक्षिणी कबीलों को हिब्रू में यहूदा और लैटिन में जूडिया कहा जाता था। (यहूदा नाम का मतलब है ""तारीफ़"" ।)",,
n,यहूदिया,,,यहूदिया उस प्रांत या इलाके का नाम है जहां यहूदा का कबीला रहता था।  ,,
n,केतुरा,,,"अब्राहम की पत्नी सारा की मौत के बाद, उसने केतुरा नाम की एक औरत से शादी की, जिससे कई बच्चे हुए। (केतुरा नाम का मतलब धूप या मीठी खुशबू हो सकता है।)",,
n,कोरह ,,,"कोरह ने मूसा और हारून के खिलाफ बगावत की। इसलिए, परमेश्वर ने ज़मीन को फटने दिया, और कोरह और उसके पीछे चलने वाले सभी लोग दरार में गिरकर मर गए।",,
n,लाबान ,,,"लाबान याकूब का मामा था, रेबेका का भाई, जो हारान में रहता था। लाबान लिआ और राहेल का पिता था जो याकूब की पत्नियाँ बनीं।",,
n,गलील झील,गलील सागर,,"गलील  झील उत्तरी इज़राइल में गहरे ताज़े पानी का एक बड़ा स्रोत है, जहाँ से जॉर्डन नदी दक्षिण की ओर बहती है।",,
n,लेवी,"लेवियों, लेवी",from the clan of Lewi (R); from the clan of Liwai (K),"लेवी, याकूब के बारह बेटों में से एक था, जो लेवी नाम के इज़राइली कबीले का पूर्वज था। इज़राइल में, सिर्फ़ लेवियों को ही यरूशलेम के मंदिर में याजक के तौर पर काम करने की इजाज़त थी। हारून एक लेवी था। मत्ती जिसने सुसमाचार लिखा था, उसे भी लेवी कहा जाता था। (मसीहों के माह याजक येशु मसीह  हैं जो यहूदा कबीले से थे।)",,
n,लूत,,,"लूत अब्राहम का भतीजा (भाई का बेटा) था। लूत अब्राहम के पास रहता था। लेकिन जब दोनों आदमियों के पास जानवरों के बड़े झुंड हो गए, तो वे अलग हो गए। अब्राहम ने टेंट में रहना चुना, जबकि लूत बुरे शहर सदोम में रहने लगा। (लूत मोआबियों और अमोनियों का पूर्वज बना, जो इस्राएलियों के दुश्मन थे।)",,
n,,,,,,
n,मनश्शे,,,"मनश्शे, यूसुफ के दो बेटों में बड़ा था। मनश्शे, इस्राएल के एक कबीले का पूर्वज बना। (मनश्शे नाम का मतलब है ""भूल जाना।"")",,
n,मरकुस  ,,,"मरकुस  एक आम रोमी नाम था। योहन्न मरकुस  नाम के एक युवा यहूदी व्यक्ति ने, जो यीशु को जानता था, मरकुस का सुसमाचार  लिखा और लुक  को लुक  का  सुसमाचार लिखने में मदद की।",,
n,मरियम,,,"मरियम नाम का मतलब है ""चाहना"" या ""कड़वा"" । बाइबिल के नया नियम  में, कई महिलाओं का नाम मरियम है, जिसमें येशु की मां और मगदला की एक शिष्या भी शामिल हैं। लाजर और मार्था की बहन को भी मरियम कहा जाता था, जो बेथानी की रहने वाली थीं।",,
n,मत्ती,,,"मत्ती,  जिसे लेवी के नाम से भी जाना जाता है, एक पढ़ा-लिखा आदमी था, जब यीशु ने उसे अपना शिष्य बनने के लिए बुलाया, तब वह टैक्स वसूलने वाला था। मत्ती ने यीशु के जीवन के बारे में एक सुसमाचार की  किताब लिखी।",,
n,मादी ,मादी लोग ,,"मादी एक ईरानी जनजाति है। 7वीं सदी ईसा पूर्व में, उन्होंने मदी नाम का एक राज्य बनाया जिसने बेबीलोन पर हमला करने के लिए फारसियों के साथ मिलकर काम किया। राजा दारा एक मादी था।",,
n,मेलकिसेदेक  ,,,"मेलकिसेदेक  का मतलब है ""मेरा राजा इंसाफ़ करने वाला है""। वह सलेम का राजा था, और एकयाजक था जो सबसे महान परमेश्वर की सेवा करता था। उसने एक बार अब्राहम को आशीर्वाद दिया, जिसने फिर उसे एक तोहफ़ा (दसवाँ भाग , या दसवाँ हिस्सा) दिया। क्योंकि मेलकिसेदेक   एक याजक  परिवार से था, वह यीशु की तरह  याजक था जो लेवी के  याजक  कबीले से नहीं था (फिर भी दोनों सबसे महान परमेश्वर  की बात मानने की वजह से असली याजक बन गए।)",,
n,मापीबोशेत ,,,"मापीबोशेत योनाथन का बेटा था। बचपन में उसके पैर टूट गए थे। दाऊद के राजा बनने के बाद, उसने मापीबोशेत पर बहुत मेहरबानी की।",,
n,मीकल ,,,"मीकल राजा शाऊल की बेटी थी। वहदाऊद से प्यार करती थी, जिसने उससे शादी की थी, जब वह राजा शाऊल की सेवा कर रहा था। कई सालों बाद, जब दाऊद  यरूशलेम की सड़कों पर नाच रहा था, तो उसने उसे डांटा। उसके कोई बच्चे नहीं हुए।",,
n,मिद्यान,मिद्यानियों,,"मिद्यान, अब्राहम की दूसरी पत्नी केतुरा का चौथा बेटा था। मिद्यान की ज़मीन उत्तर-पश्चिम अरब में थी, जहाँ मूसा मिस्र से भागकर आए थे। मिद्यान की ज़मीन के लोगों को मिद्यानियों कहा जाता था। वे नियायों के समय में इज़राइल पर हमला करते और लूटते थे। परमेश्वर ने गिदोन को हमला करने वाले मिद्यानियों को हराने के लिए ताकत दी।",,
n,मिरियम ,,,मिरियम मूसा और हारून की बहन थी। वह एक भविष्‍य बताने वाली थी जो इस्राएलियों को गीत सिखाती थी।,,
n,मोआब ,मोआबी ,,"मोआब अब्राहम के भतीजे लूत का बेटा था। मोआब के वंशज मोआबी थे, जो यरदन  नदी के पार इज़राइल के दक्षिण-पूर्व में मोआब में रहते थे। मोआबी अपने बच्चों की बलि देकर  मोलेक देवता की पूजा करते थे। रूथ एक मोआबी थी जो राजा दाऊद  और येशु की पूर्वज बनी।",,
n,मोलेख,,,"मोलेख एक बुरी आत्मा है और कुछ गैर-मसीह लोग इसकी पूजा करते हैं। कुछ देशों में, उपासक मोलेख की मूर्तियों के सामने अपने बच्चों की बलि चढ़ाते थे। यरूशलेम में कुछ इस्राएलियों ने अपने बच्चों की बलि देकर प्रभु को बहुत गुस्सा दिलाया। (मोलेख नाम का मतलब है ""मौत का राजा""।)",,
n,मोर्दकै,,,मोर्दकै एक यहूदी गुलाम था जो फ़ारसी राजा क्षयरष के महल में काम करता था। उसने अपनी अनाथ चचेरी बहन एस्तेर को पाला-पोसा जो क्षयरष  की रानी बनी। क्षयरष ने मोर्दकै को उसकी वफ़ादार सेवा के लिए इनाम दिया।,,
n,मूसा,,Musa (W from Ar),"मूसा, यीशु मसीह से लगभग 1450 साल पहले रहते थे। उनका जन्म मिस्र में एक हिब्रू गुलाम परिवार में हुआ था, लेकिन उन्हें मिस्र की एक राजकुमारी ने गोद ले लिया थी । मूसा ने 40 साल की उम्र में मिस्र छोड़ दिया था, लेकिन परमेश्वर ने उन्हें 80 साल की उम्र में मिस्र वापस भेज दिया, ताकि वे हिब्रू लोगों को कनान ले जा सकें। परमेश्वर ने मूसा को अपना कानून बताया (जिन्होंने पुराना नियम  की पहली किताबें लिखीं)।",,
n,नामान,,,"नामान, यीशु मसीह से लगभग 800 साल पहले सीरिया देश में रहता था, जहाँ वह सैनिकों का कमांडर था। वह एक पैगन (गैर-यहूदी) था, यहूदी नहीं, और उसे चरम रोग था । भविष्यवक्ता एलीशा ने उसे यरदन नदी में नहाने के लिए कहा। नामान ने बात मानी और ठीक हो गया, और इज़राइल के पररमेश्वर में विश्वास करने लगा। (येशु मसीह  ने यहूदियों से कहा कि  ने पररमेश्वर को स्वीकार किया जिसने मूसा के कानून को नहीं जनता था  (नामान नाम का मतलब है ""सुहावना"")",,
n,नाओमी ,,,"नाओमी इज़राइल की एक महिला थी जो अपने पति के साथ मोआब चली गई थी, अपने पति और बेटों की मौत के बाद वह इज़राइल लौट आई थी।",,
n, नथनएल ,,,"कई लोगों का नाम नथनएल था। नथनएल यीशु के पहले शिष्यों में से एक था। (नथनएल नाम का मतलब है ""परमेश्वर  देता है""।)",,
n,नासरत,,,"नासरत, यहूदा के उत्तर में गलिली प्रांत का एक गाँव था। मिस्र से लौटने के बाद यूसुफ, मरियम और यीशु को नासरत में रहने के लिए ले आया।",,
n,नबूकदनेस्सर ,,,"नबूकदनेस्सर 605 से 562 ईसा पूर्व तक बेबीलोन का एक गैर-मसीह राजा था। उसने इस्राएलियों को देश से निकाला कर गुलामी करवाने के लिए बेबीलोन भेज दिया, और बाद में इस्राएल के परमेश्वर पर विश्वास किया। (नबूकदनेस्सर नाम का मतलब है ""नबू मेरे बेटे की रक्षा करे।"")",,
n,नहेमायाह ,,,"नहेमायाह फ़ारसी साम्राज्य में एक यहूदी उच्च अधिकारी थे। राजा अर्तक्षत्र ने नहेमायाह को लगभग 445 ईसा पूर्व में यरुशलम को फिर से बनाने के लिए यहूदा भेजा था। (नहेमायाह नाम का मतलब है ""प्रभु आराम देता है""।)",,
n,नील नदी,नील ,,नील नदी पूरे मिस्र देश से उत्तर की ओर बहती है और देश को अधिकांश जल प्रदान करती है। मिस्रवासी नील नदी को जीवन का पवित्र स्रोत मानते थे। परमेश्वर ने मूसा को नील नदी के पानी को खून में बदलने की शक्ति दी थी। (नील नदी का उद्गम युगांडा की विक्टोरिया झील में स्थित है।),,
n,नीनवे ,नीनवेवासी ,,"नीनवे अश्शूर देश का एक बड़ा मूर्तिपूजक शहर था। (अश्शूर के सैनिक अपने बंदियों को मौत के घाट उतार देते थे।) येशु मसीह से लगभग 800 वर्ष पूर्व, परमेश्वर ने नीनवे के लोगों को चेतावनी देने के लिए नबी योना को भेजा कि वह उन्हें नष्ट करने जा रहा है। योना का संदेश सुनकर, वे रो पड़े और पश्चाताप किया। इस कारण, परमेश्वर ने उन्हें क्षमा कर दिया और उस समय उनका नाश नहीं किया। (जब उन्होंने पश्चाताप किया, तो योना को बहुत दुःख हुआ, क्योंकि वह चाहता था कि यहोवा नीनवे का नाश कर दे।)
नहुम की छोटी पुस्तक बताती है कि परमेश्वर ने बाद में नीनवे का नाश कब किया।",,
n,नूह,,,"नूह, येशु मसीह से लगभग 2000 वर्ष पहले रहते थे। उनके नाम का अर्थ है ""आराम या सुख।"" उन दिनों, इंसान इतने बुरे काम कर रहे थे कि परमेश्वर ने नूह को एक बहुत बड़ी नाव बनाने का आदेश दिया। 120 साल बाद, परमेश्वर ने जानवरों के जोड़े और नूह के परिवार को उस नाव में ले गया। फिर परमेश्वर ने ज़मीन पर पानी की बाढ़ भेजा , जिससे सभी इंसान और जानवर मारे गए, सिवाय उन लोगों के जो नाव के अंदर थे इस बाढ़ के पानी से बच गए।  (इस प्रकार, आज जीवित सभी लोग नूह और उसके बेटों के वंशज हैं।)",,
n,ओबेद-एदोम ,,,"राजा दाऊद ने एक बार ओबेद-एदोम के घर में वाचा का सन्दूक रखा था, और यहोवा ने ओबेद-एदोम को समृद्ध किया। जब दाऊद वाचा का सन्दूक यरूशलेम ले आया, तो उसने ओबेद-एदोम को वहाँ का द्वारपाल नियुक्त किया। (ओबेद-एदोम नाम का अर्थ है ""एदोम का सेवक""।)",,
n,ओर्फा,,,"ओर्फा मोआब की एक विधवा स्त्री थी, जिसका विवाह नाओमी के दो पुत्रों में से एक से हुआ था।",,
n,पौलुस ,,,"शाऊल एक यहूदी था जो मसीहियों के साथ हिंसक व्यवहार करता था। यीशु के प्रकट होने के बाद, वह एक प्रेरित बन गया और खुद को पौलुस कहने लगा। सुसमाचार सुनाने और कई नई कलीसियाएँ शुरू करने के द्वारा यीशु की सेवा करते समय पौलुस ने बहुत कष्ट सहे। पौलुस ने दस पत्र लिखे जो अब पवित्र बाइबल के नए नियम का हिस्सा हैं। (पौलुस नाम का अर्थ है ""छोटा""।)",,
n,फ़ारस,फ़ारसी,,"फ़ारसी एक ईरानी जनजाति है। ईसा पूर्व सातवीं शताब्दी में, उन्होंने मेदियों के साथ गठबंधन किया और बेबीलोनिया पर विजय प्राप्त की। फ़ारसी साम्राज्य ने सैकड़ों वर्षों तक दुनिया के अधिकांश भाग पर शासन किया।",,
n,पतरस ,कैफा ,,"शमौन एक मछुआरा था जिसे कैफा भी कहा जाता था। जब यीशु ने शमौन को शिष्य बनने के लिए बुलाया, तो यीशु ने उसका नाम बदलकर पतरस रख दिया। पतरस, यीशु के बारह प्रेरितों में से एक था। यीशु ने पतरस को यीशु की मृत्यु और पुनरुत्थान के बाद यहूदियों को सुसमाचार सुनाने वाला पहला व्यक्ति और गैर-यहूदियों या अन्यजातियों को सुसमाचार सुनाने वाला पहला व्यक्ति चुना। पतरस ने बाइबल के नए नियम के दो पत्र लिखे। (पतरस नाम का अर्थ है ""चट्टान।"")",,
n,फरीसी ,,"Jewish religious leader;
Farasi;
","फरीसी यहूदी धर्मगुरु और शिक्षक थे जो मूसा की व्यवस्था का पालन करने के लिए कई नियमों का पालन करते थे। वे उन यहूदियों का तिरस्कार करते थे जो उन नियमों का पालन करने में इतने सख्त नहीं थे। यीशु ने उन्हें पाखंडी कहा, क्योंकि वे अक्सर पाप करते थे, लेकिन उसे स्वीकार नहीं करते थे। (कई फरीसी यीशु और उनके प्रेरितों का विरोध करते थे, कभी-कभी ईसाइयों को गिरफ्तार कर लेते थे या मार डालते थे।)",,
n,फिलिप्पुस ,,,"फिलिप्पुस नाम के कई लोग थे। उनमें से एक राजनीतिक नेता था। दूसरा यीशु के पहले शिष्यों में से एक था, जो यीशु के बारह प्रेरितों में से एक बना। फिलिप्पुस कई सामरियों को यीशु के पास ले गया, साथ ही एक इथियोपियाई अधिकारी को भी।",,
